name,lat,long,city
172,Prescott International Airport - Ernest A. Love Field,34.654499,-112.419998,Prescott
173,Roanoke–Blacksburg Regional Airport,37.3255,-79.975403,Roanoke
174,Charles B. Wheeler Downtown Airport,39.123199462890625,-94.5927963256836,Kansas City
175,Snohomish County (Paine Field) Airport,47.9063,-122.281998,Everett
176,Henderson Executive Airport,35.9728012085,-115.134002686,Las Vegas
177,Lehigh Valley International Airport,40.651773,-75.442797,Allentown
178,Baton Rouge Metropolitan Airport,30.533199,-91.149597,Baton Rouge
179,Northwest Arkansas Regional Airport,36.281898,-94.306801,Fayetteville/Springdale/Rogers
180,Sacramento Executive Airport,38.5125007629,-121.492996216,Sacramento
181,Addison Airport,32.9686012268,-96.8364028931,Dallas
182,Grand Junction Regional Airport,39.126663,-108.529387,Grand Junction
183,Rochester International Airport,43.908298,-92.5,Rochester
184,San Carlos Airport,37.511901855469,-122.25,San Carlos
185,Yeager Airport,38.3731,-81.593201,Charleston
186,Corpus Christi International Airport,27.770399,-97.501198,Corpus Christi
187,Bismarck Municipal Airport,46.772701263427734,-100.74600219726562,Bismarck
188,Gallatin Field,45.77750015,-111.1529999,Bozeman
189,Flagstaff Pulliam International Airport,35.1385,-111.670998,Flagstaff
190,Capital City Airport,42.77870178222656,-84.58740234375,Lansing
191,Wilkes Barre Scranton International Airport,41.338500976599995,-75.72339630130001,Wilkes-Barre/Scranton
192,Livermore Municipal Airport,37.6934013367,-121.819999695,Livermore
193,Watsonville Municipal Airport,36.9356994629,-121.790000916,Watsonville
194,Missoula International Airport,46.91630173,-114.0910034,Missoula
195,Nantucket Memorial Airport,41.25310135,-70.06020355,Nantucket
196,Cincinnati Municipal Airport Lunken Field,39.10329819,-84.41860199,Cincinnati
197,Martha's Vineyard Airport,41.3931007385,-70.6143035889,Martha's Vineyard
198,Hayward Executive Airport,37.659198761,-122.122001648,Hayward
199,Phoenix–Mesa Gateway Airport,33.3078,-111.654999,Mesa
200,Paso Robles Municipal Airport,35.67290115,-120.6269989,Paso Robles
201,Catalina Airport,33.4049,-118.416,Avalon
202,Fort Worth Meacham International Airport,32.819801,-97.362396,Fort Worth
203,Grand Canyon National Park Airport,35.9524,-112.147003,Grand Canyon - Tusayan
204,Newport News Williamsburg International Airport,37.131901,-76.492996,Newport News
205,Yuma International Airport / Marine Corps Air Station Yuma,32.656601,-114.606003,Yuma
206,Vero Beach Regional Airport,27.6556,-80.417901,Vero Beach
207,Bishop International Airport,42.96540069580078,-83.74359893798828,Flint
208,Eagle County Regional Airport,39.64260101,-106.9179993,Eagle
